"","X.1","X","price","lot_size","waterfront","age","land_value","construction","air_cond","fuel","heat","sewer","living_area","fireplaces","bathrooms","rooms","waterfront2","air_cond2","construction2","sewer2"
"25",25,25,90400,0.36,0,16,5200,0,0,3,4,3,1600,0,1.5,4,"No","No","No","Public"
"26",26,26,248800,4,0,28,5500,0,0,4,2,2,2224,0,3,10,"No","No","No","Private"
"27",27,27,135000,1.83,0,126,6000,0,0,4,3,2,1656,0,1,6,"No","No","No","Private"
"28",28,28,145000,3,0,26,4500,0,0,4,2,2,1170,0,1.5,5,"No","No","No","Private"
"29",29,29,457000,0.43,1,53,2700,0,0,4,2,3,2461,1,2,10,"Yes","No","No","Public"
"30",30,30,140000,0.44,0,56,19400,0,1,4,2,2,1544,1,1.5,7,"No","Yes","No","Private"
"31",31,31,130000,1.24,0,51,24800,0,0,4,3,2,1220,2,1,4,"No","No","No","Private"
"32",32,32,187000,0.46,0,3,15200,0,0,2,2,2,1858,1,2.5,7,"No","No","No","Private"
"33",33,33,229000,0.87,0,9,41100,0,0,2,2,3,2219,1,2,8,"No","No","No","Public"
"34",34,34,227000,1.8,0,201,25500,0,0,4,2,2,1876,0,2.5,5,"No","No","No","Private"
"35",35,35,179900,0.46,0,1,15200,0,0,2,2,2,2026,1,2.5,6,"No","No","No","Private"
"36",36,36,169900,0.91,0,19,20200,0,1,2,2,2,1671,1,3,8,"No","Yes","No","Private"
"37",37,37,209900,0.46,0,1,15200,0,0,2,2,1,2060,1,2.5,7,"No","No","No","None"
"38",38,38,169900,0.59,0,0,17300,0,0,2,2,2,1884,1,2.5,9,"No","No","No","Private"
"39",39,39,293000,7.24,0,43,36600,0,0,2,3,2,2022,2,3,6,"No","No","No","Private"
"40",40,40,245900,0.19,0,0,20700,0,1,2,2,1,2394,1,2.5,7,"No","Yes","No","None"
"41",41,41,157000,0.46,0,45,20200,0,0,2,2,2,1390,1,1.5,6,"No","No","No","Private"
"42",42,42,195000,0.41,0,32,27100,0,1,2,2,2,1954,0,2.5,8,"No","Yes","No","Private"
"43",43,43,150000,0.78,0,54,24500,0,1,4,2,2,1554,1,1.5,5,"No","Yes","No","Private"
"44",44,44,234900,0.89,0,9,41600,0,1,2,2,3,1976,0,2.5,6,"No","Yes","No","Public"
"45",45,45,279550,1.34,0,0,44400,0,0,2,2,2,2479,1,2.5,10,"No","No","No","Private"
"46",46,46,246500,1,0,0,17100,0,0,2,2,1,2714,1,2.5,9,"No","No","No","None"
"47",47,47,124000,1,0,98,15500,0,0,4,2,2,797,0,1,3,"No","No","No","Private"
"48",48,48,138000,0.27,0,54,8900,0,0,2,3,2,1500,0,2.5,7,"No","No","No","Private"
"49",49,49,290000,0.71,1,73,61000,0,0,4,2,2,1838,0,2,8,"Yes","No","No","Private"
"50",50,50,108000,0.9,0,48,19000,0,0,2,2,2,1042,1,2,3,"No","No","No","Private"
"51",51,51,134900,0.24,0,10,8000,0,1,2,2,3,1782,0,2.5,6,"No","Yes","No","Public"
"52",52,52,64500,0.06,0,16,1600,0,0,2,2,3,1480,1,2.5,5,"No","No","No","Public"
"53",53,53,142000,0.55,0,20,13800,0,0,2,2,2,1426,1,2,6,"No","No","No","Private"
"54",54,54,125000,0.34,0,32,11100,0,0,2,2,2,1404,0,2,5,"No","No","No","Private"
"55",55,55,88000,0.19,0,15,3400,0,1,2,3,3,1480,1,1.5,5,"No","Yes","No","Public"
"56",56,56,135000,0.23,0,135,8100,0,0,2,3,3,1344,0,1,5,"No","No","No","Public"
"57",57,57,90000,0.07,0,14,1800,0,1,2,2,3,1480,1,2.5,5,"No","Yes","No","Public"
"58",58,58,90100,0.09,0,15,2400,0,0,2,3,3,1480,1,1.5,7,"No","No","No","Public"
"59",59,59,126900,0.25,0,10,8400,0,0,2,2,3,1596,0,2.5,6,"No","No","No","Public"
"60",60,60,175000,0.47,0,15,27200,0,0,3,4,2,1768,1,2,5,"No","No","No","Private"
"61",61,61,158000,0.36,0,10,12100,0,1,2,2,3,1348,1,2,3,"No","Yes","No","Public"
"62",62,62,92000,0.07,0,14,1800,0,0,2,2,3,1480,1,1.5,8,"No","No","No","Public"
"63",63,63,82800,0.11,0,225,3900,0,0,2,2,3,1483,0,1,7,"No","No","No","Public"
"64",64,64,140000,0.23,0,25,8300,0,1,2,2,3,1576,1,1.5,5,"No","Yes","No","Public"
"65",65,65,171000,3.16,0,15,24100,0,0,3,4,2,1008,0,1,7,"No","No","No","Private"
"66",66,66,200640,0.08,0,0,32000,1,0,2,2,3,2332,0,2.5,9,"No","No","Yes","Public"
"67",67,67,139000,0.57,0,30,7500,0,0,4,2,2,1064,1,1,5,"No","No","No","Private"
"68",68,68,225000,0.5,0,12,15300,0,1,2,2,3,2428,1,2.5,11,"No","Yes","No","Public"
"69",69,69,182000,1,0,16,26600,0,0,3,4,2,1310,1,2,7,"No","No","No","Private"
"70",70,70,208767,0.5,0,0,32000,1,1,2,2,3,1662,0,2,7,"No","Yes","Yes","Public"
"71",71,71,186000,0.55,0,0,4400,1,0,2,2,3,2000,0,2.5,7,"No","No","Yes","Public"
"72",72,72,93000,0.1,0,14,2600,0,0,2,2,3,1480,1,1.5,6,"No","No","No","Public"
"73",73,73,257386,0.5,0,0,32000,1,1,2,2,3,2969,1,4,10,"No","Yes","Yes","Public"
"74",74,74,161000,0.31,0,10,10400,0,1,2,2,3,1542,0,2.5,5,"No","Yes","No","Public"
"75",75,75,92000,0.28,0,18,6300,0,0,4,2,2,1527,0,2,7,"No","No","No","Private"
"76",76,76,211002,0.06,0,0,32000,1,0,2,2,3,2195,0,2.5,8,"No","No","Yes","Public"
"77",77,77,115000,0.06,0,14,1600,0,0,2,2,3,1480,1,1.5,6,"No","No","No","Public"
"78",78,78,113000,0.46,0,53,9200,0,1,4,3,2,1452,0,2,7,"No","Yes","No","Private"
"79",79,79,216300,0.1,0,0,32000,1,0,2,2,3,2360,0,2.5,10,"No","No","Yes","Public"
"80",80,80,145000,2.12,0,32,19000,0,0,4,2,2,1440,1,1,8,"No","No","No","Private"
"81",81,81,114000,0.06,0,14,1600,0,0,3,2,3,1480,1,2.5,5,"No","No","No","Public"
"82",82,82,139050,0.21,0,125,7300,0,0,2,2,3,1879,0,2.5,6,"No","No","No","Public"
"83",83,83,104000,0.06,0,14,1600,0,0,2,2,3,1480,0,1.5,6,"No","No","No","Public"
"84",84,84,169900,0.26,0,11,8700,0,0,2,2,3,1792,0,2.5,8,"No","No","No","Public"
"85",85,85,177900,0.29,0,2,25000,0,0,2,2,2,1386,0,2.5,5,"No","No","No","Private"
"86",86,86,133000,1.29,0,14,10300,0,1,3,2,2,1676,1,2,3,"No","Yes","No","Private"
"87",87,87,185000,1,0,0,4000,0,0,2,2,2,768,0,2,9,"No","No","No","Private"
"88",88,88,115000,0.88,0,16,10000,0,1,3,4,2,1560,1,1.5,8,"No","Yes","No","Private"
"89",89,89,100000,0.52,0,91,5000,0,0,4,2,2,1000,0,1,6,"No","No","No","Private"
"90",90,90,117000,0.07,0,15,18900,0,0,3,4,2,1676,1,1.5,9,"No","No","No","Private"
"91",91,91,150000,0.32,0,11,19400,0,0,3,4,1,1656,0,1.5,6,"No","No","No","None"
"92",92,92,187500,0.92,0,11,20600,0,0,3,4,2,2300,1,1.5,7,"No","No","No","Private"
"93",93,93,107000,0.46,0,25,18700,0,0,2,2,2,1712,1,1,6,"No","No","No","Private"
"94",94,94,126900,0.46,0,26,18700,0,0,2,2,2,1350,0,1.5,5,"No","No","No","Private"
"95",95,95,147000,0.11,0,15,18900,0,0,2,2,2,1676,1,2.5,6,"No","No","No","Private"
"96",96,96,62000,0.4,0,103,10500,0,0,2,3,2,1317,0,1.5,7,"No","No","No","Private"
"97",97,97,101000,0.87,0,30,8700,0,0,2,2,2,1056,1,2,8,"No","No","No","Private"
"98",98,98,143500,0.59,0,13,19900,0,0,2,2,2,912,0,1,7,"No","No","No","Private"
"99",99,99,113400,0.93,0,18,4500,0,0,3,4,2,1232,0,2,3,"No","No","No","Private"
"100",100,100,76320,0.15,0,68,2000,0,0,2,2,3,1380,1,1,5,"No","No","No","Public"
"101",101,101,110000,0.59,0,10,3100,0,1,2,2,2,936,0,1,6,"No","Yes","No","Private"
"102",102,102,88000,0.33,0,49,3400,0,0,2,2,2,720,0,1,4,"No","No","No","Private"
"103",103,103,108000,0.32,0,30,6500,0,0,4,3,2,1628,1,1.5,4,"No","No","No","Private"
"104",104,104,114900,0.46,0,41,5000,0,0,2,2,2,1144,0,1.5,6,"No","No","No","Private"
"105",105,105,146000,0.48,0,2,3000,0,0,2,2,2,1827,0,2.5,9,"No","No","No","Private"
"106",106,106,225000,2.37,0,8,3300,0,0,4,3,2,1784,1,2,6,"No","No","No","Private"
"107",107,107,138000,0.83,0,16,3700,0,1,2,2,2,1851,1,2.5,8,"No","Yes","No","Private"
"108",108,108,218070,1,0,0,3500,1,0,2,3,2,2194,0,2.5,8,"No","No","Yes","Private"
"109",109,109,25000,0.21,0,75,900,0,0,4,2,2,920,0,1,6,"No","No","No","Private"
"110",110,110,112000,0.27,0,36,3800,0,0,2,3,3,1280,0,1,5,"No","No","No","Public"
"111",111,111,112500,0.72,0,43,4600,0,0,3,4,2,1232,1,1,5,"No","No","No","Private"
"112",112,112,97000,0.36,0,45,3600,0,0,2,3,2,1406,0,1.5,6,"No","No","No","Private"
"113",113,113,121000,0.52,0,6,2500,0,0,2,2,2,1164,0,2,5,"No","No","No","Private"
"114",114,114,65720,0.19,0,123,2100,0,0,2,3,3,1198,0,1,5,"No","No","No","Public"
"115",115,115,225000,0.38,0,10,6600,0,1,2,2,2,2206,1,2.5,8,"No","Yes","No","Private"
"116",116,116,192000,0.82,0,0,5000,1,1,2,2,2,1880,1,2.5,9,"No","Yes","Yes","Private"
"117",117,117,158500,0.69,0,6,3400,0,0,4,2,2,1368,0,1.5,8,"No","No","No","Private"
"118",118,118,247000,0.51,0,16,6000,0,1,2,2,2,1901,1,2.5,5,"No","Yes","No","Private"
"119",119,119,193777,0.72,0,11,3200,0,0,2,2,2,1547,0,2,8,"No","No","No","Private"
"120",120,120,136500,0.62,0,12,5400,0,0,2,2,2,896,0,2,5,"No","No","No","Private"
"121",121,121,75000,1,0,45,8000,0,0,2,2,2,1008,0,1,7,"No","No","No","Private"
"122",122,122,45000,0.52,0,75,3900,0,0,2,2,2,912,0,1,4,"No","No","No","Private"
"123",123,123,243000,0.82,0,12,3700,0,0,2,2,2,2443,0,2.5,6,"No","No","No","Private"
"124",124,124,90000,0.29,0,83,3900,0,0,2,2,3,900,0,1,7,"No","No","No","Public"
"125",125,125,158000,0.52,0,0,4400,1,1,2,2,2,2098,0,2,7,"No","Yes","Yes","Private"
"126",126,126,174000,0.64,0,9,3000,0,0,2,3,2,2115,1,2.5,7,"No","No","No","Private"
"127",127,127,150000,0.52,0,12,4500,0,0,2,2,2,1344,1,2,7,"No","No","No","Private"
"128",128,128,159650,1,0,3,5200,0,0,2,2,2,1106,0,1,8,"No","No","No","Private"
"129",129,129,139062,0.69,0,33,6500,0,0,2,3,2,1440,2,2,6,"No","No","No","Private"
"130",130,130,84950,0.13,0,0,15000,1,0,2,2,3,840,0,1,3,"No","No","Yes","Public"
"131",131,131,102000,0.22,0,10,7300,0,0,2,2,3,1170,0,1,6,"No","No","No","Public"
"132",132,132,175000,0.46,0,15,23400,0,0,4,2,2,1664,0,1,5,"No","No","No","Private"
"133",133,133,78500,1,0,153,27300,0,0,4,2,2,3024,0,1,12,"No","No","No","Private"
"134",134,134,232478,1,0,0,15900,0,0,2,2,1,2598,1,2.5,9,"No","No","No","None"
"135",135,135,93805,0.13,0,0,15000,1,0,2,2,3,840,0,1.5,7,"No","No","Yes","Public"
"136",136,136,119900,1.03,0,63,41500,0,0,4,3,2,1701,0,1,10,"No","No","No","Private"
"137",137,137,146000,1.17,0,33,41800,0,0,4,2,2,1456,1,1.5,6,"No","No","No","Private"
"138",138,138,125000,0.34,0,44,19000,0,0,4,2,2,1224,0,1,4,"No","No","No","Private"
"139",139,139,135000,0.38,0,48,21300,0,0,2,2,2,1411,1,1,5,"No","No","No","Private"
"140",140,140,157500,1.96,0,29,39700,0,0,4,2,2,1608,1,1.5,5,"No","No","No","Private"
"141",141,141,135000,3,0,178,44500,0,0,4,3,2,3020,0,2.5,12,"No","No","No","Private"
"142",142,142,142900,0.33,0,32,22500,0,0,2,3,3,1898,1,1.5,7,"No","No","No","Public"
"143",143,143,259900,0.46,0,1,36600,1,1,2,2,3,2544,1,2.5,9,"No","Yes","Yes","Public"
"144",144,144,85000,0.29,0,16,22100,0,0,3,4,3,1038,0,1,7,"No","No","No","Public"
"145",145,145,180377,0.35,0,1,37000,1,0,2,2,3,1820,1,2.5,6,"No","No","Yes","Public"
"146",146,146,163500,0.28,0,21,28400,0,1,3,4,3,2202,1,2,10,"No","Yes","No","Public"
"147",147,147,106500,0.52,0,53,20300,0,0,4,2,2,2387,0,1,6,"No","No","No","Private"
"148",148,148,115000,0.11,0,16,20700,0,1,3,4,3,1368,1,1.5,3,"No","Yes","No","Public"
"149",149,149,115000,0.14,0,16,21000,0,1,3,4,3,1480,1,2,5,"No","Yes","No","Public"
"150",150,150,135000,0.14,0,15,19600,0,1,3,4,3,1348,1,1.5,5,"No","Yes","No","Public"
"151",151,151,198900,0.47,0,7,25500,0,1,2,2,3,1889,1,2.5,8,"No","Yes","No","Public"
"152",152,152,139000,0.14,0,16,19600,0,1,3,4,3,1343,1,1.5,6,"No","Yes","No","Public"
"153",153,153,206000,0.51,0,15,39600,0,1,2,2,3,2011,1,2.5,7,"No","Yes","No","Public"
"154",154,154,120000,0.21,0,15,28800,0,1,2,2,3,1180,1,1.5,3,"No","Yes","No","Public"
"155",155,155,205980,0.14,0,1,45200,1,1,2,2,3,1983,1,2.5,5,"No","Yes","Yes","Public"
"156",156,156,275000,0.55,0,14,72000,0,1,2,2,3,2253,1,2.5,7,"No","Yes","No","Public"
"157",157,157,139000,0.07,0,12,24500,0,1,2,2,3,1604,0,1.5,4,"No","Yes","No","Public"
"158",158,158,89900,0.49,0,83,11900,0,0,2,2,2,1196,0,1,6,"No","No","No","Private"
"159",159,159,139900,0.07,0,13,24500,0,1,2,2,3,1602,0,2.5,7,"No","Yes","No","Public"
"160",160,160,172750,0.36,0,1,37100,1,0,2,2,3,1747,0,2.5,5,"No","No","Yes","Public"
"161",161,161,136000,0.5,0,37,19800,0,0,4,3,2,1092,0,1,5,"No","No","No","Private"
"162",162,162,270000,0.48,0,10,37800,0,1,2,2,3,2410,1,2.5,11,"No","Yes","No","Public"
"163",163,163,174000,0.29,0,14,31100,0,1,2,2,3,1933,1,2.5,6,"No","Yes","No","Public"
"164",164,164,379000,0.68,0,9,57200,0,1,2,2,3,3080,1,2.5,12,"No","Yes","No","Public"
"165",165,165,382500,4.08,0,13,75500,0,1,4,2,2,4534,2,2.5,12,"No","Yes","No","Private"
"166",166,166,144900,0.1,0,14,26000,0,1,2,2,3,1677,1,2.5,5,"No","Yes","No","Public"
"167",167,167,349900,0.62,0,7,57800,0,1,2,2,3,2900,1,2.5,11,"No","Yes","No","Public"
"168",168,168,133000,0.07,0,16,20300,0,1,3,4,3,1392,1,1.5,5,"No","Yes","No","Public"
"169",169,169,115000,0.16,0,15,22400,0,0,2,2,3,1058,1,1.5,7,"No","No","No","Public"
"170",170,170,211950,0.36,0,1,29200,1,1,2,2,3,2342,1,2.5,8,"No","Yes","Yes","Public"
"171",171,171,227812,0.01,0,0,37200,1,1,2,2,3,2206,1,2.5,10,"No","Yes","Yes","Public"
"172",172,172,164400,0.34,0,1,36200,1,1,2,2,3,1516,1,2,5,"No","Yes","Yes","Public"
"173",173,173,340000,0.75,0,12,82500,0,1,2,2,3,2836,1,2.5,10,"No","Yes","No","Public"
"174",174,174,139900,0.29,0,15,35200,0,1,2,2,3,1256,0,1.5,7,"No","Yes","No","Public"
"175",175,175,279900,0.47,0,6,20000,0,1,2,2,3,2340,1,3.5,10,"No","Yes","No","Public"
"176",176,176,225000,0.32,0,0,53900,1,1,2,2,3,2129,1,2.5,9,"No","Yes","Yes","Public"
"177",177,177,144500,0.12,0,15,16800,0,1,2,2,3,1343,1,2.5,4,"No","Yes","No","Public"
"178",178,178,362710,1,0,0,24300,1,1,2,2,2,2963,1,2.5,10,"No","Yes","Yes","Private"
"179",179,179,247000,0.46,0,13,36600,0,1,2,2,3,2114,1,3.5,8,"No","Yes","No","Public"
"180",180,180,120000,0.18,0,16,21400,0,1,3,4,3,1144,1,1,7,"No","Yes","No","Public"
"181",181,181,136000,0.55,0,33,14900,0,0,4,2,2,988,1,1,7,"No","No","No","Private"
"182",182,182,228500,0.46,0,9,45800,0,0,2,2,3,1475,0,2,4,"No","No","No","Public"
"183",183,183,162800,0.15,0,10,28500,0,0,2,2,3,1247,0,1.5,7,"No","No","No","Public"
"184",184,184,230000,0.93,0,48,23500,0,0,2,3,2,1912,1,2,10,"No","No","No","Private"
"185",185,185,115800,0.46,0,23,19700,0,0,4,2,2,1440,0,1.5,5,"No","No","No","Private"
"186",186,186,175000,0.26,0,16,30100,0,1,2,2,3,1596,1,2,6,"No","Yes","No","Public"
"187",187,187,263008,0.63,0,0,24400,1,1,2,2,3,2665,1,2.5,11,"No","Yes","Yes","Public"
"188",188,188,146000,0.5,0,35,28000,0,0,2,3,2,1984,0,1.5,8,"No","No","No","Private"
"189",189,189,204900,0.03,0,10,35800,0,1,2,2,3,1616,0,2,6,"No","Yes","No","Public"
"190",190,190,265000,0.17,0,9,40500,0,0,2,2,3,1917,1,2.5,5,"No","No","No","Public"
"191",191,191,167500,0.64,0,37,16400,0,0,4,3,2,2592,1,1.5,9,"No","No","No","Private"
"192",192,192,205000,0.47,0,6,25500,0,0,2,2,3,1845,1,2.5,9,"No","No","No","Public"
"193",193,193,170000,0.92,0,53,29000,0,1,4,2,2,1360,0,1,9,"No","Yes","No","Private"
"194",194,194,176000,0.41,0,35,26200,0,1,2,2,3,1664,1,1.5,6,"No","Yes","No","Public"
"195",195,195,132000,0.16,0,15,22400,0,1,2,2,3,1098,1,1.5,3,"No","Yes","No","Public"
"196",196,196,115500,0.01,0,17,9900,0,0,3,4,3,1214,0,1.5,4,"No","No","No","Public"
"197",197,197,150000,0.29,0,93,9200,0,0,3,4,2,1046,0,1,6,"No","No","No","Private"
"198",198,198,120000,0.36,0,103,32200,0,0,4,2,2,1144,0,1,8,"No","No","No","Private"
"199",199,199,125000,0.28,0,16,22000,0,1,2,2,3,1140,1,2,6,"No","Yes","No","Public"
"200",200,200,150000,0.15,0,14,21000,0,0,2,2,3,1232,1,1.5,5,"No","No","No","Public"
"201",201,201,362360,0.59,0,0,153800,1,1,2,2,3,3020,1,2.5,9,"No","Yes","Yes","Public"
"202",202,202,133500,0.36,0,19,27000,0,0,2,2,3,1508,1,2,6,"No","No","No","Public"
"203",203,203,91000,0.16,0,19,15700,0,0,3,4,3,912,1,1.5,5,"No","No","No","Public"
"204",204,204,104000,0.34,0,18,27000,0,0,3,4,3,1508,0,1.5,4,"No","No","No","Public"
"205",205,205,148000,0.33,0,17,27000,0,0,2,2,3,1561,1,1.5,6,"No","No","No","Public"
"206",206,206,182000,0.56,0,30,26400,0,0,2,3,3,2625,1,2.5,8,"No","No","No","Public"
"207",207,207,152500,0.48,0,30,19600,0,0,2,3,3,936,1,1,7,"No","No","No","Public"
"208",208,208,97000,0.16,0,19,15700,0,0,3,4,3,912,0,1.5,3,"No","No","No","Public"
"209",209,209,113000,0.17,0,16,15100,0,0,3,4,3,1492,0,2.5,8,"No","No","No","Public"
"210",210,210,172000,0.46,0,30,26300,0,0,2,3,3,1599,1,2.5,5,"No","No","No","Public"
"211",211,211,179900,0.81,0,25,25000,0,0,3,4,2,2304,1,2.5,9,"No","No","No","Private"
"212",212,212,84000,0.15,0,19,15700,0,0,3,4,3,912,0,1.5,7,"No","No","No","Public"
"213",213,213,117900,0.15,0,17,15100,0,1,2,2,3,1385,1,1.5,7,"No","Yes","No","Public"
"214",214,214,177000,0.32,0,17,27000,0,0,3,4,3,1561,0,1.5,8,"No","No","No","Public"
"215",215,215,107500,0.16,0,20,15700,0,0,2,3,3,884,0,2,3,"No","No","No","Public"
"216",216,216,92500,0.15,0,18,15700,0,0,3,4,3,912,0,2,4,"No","No","No","Public"
"217",217,217,102900,0.15,0,17,15700,0,0,2,4,3,912,0,1.5,3,"No","No","No","Public"
"218",218,218,134800,0.48,0,73,20500,0,0,4,2,2,1384,0,2,5,"No","No","No","Private"
"219",219,219,150000,0.77,0,7,30000,0,0,2,2,3,1334,0,1.5,4,"No","No","No","Public"
"220",220,220,165000,0.42,0,10,26200,0,1,2,2,2,1433,1,2,5,"No","Yes","No","Private"
"221",221,221,120000,0.17,0,16,15100,0,0,3,4,3,1492,1,2.5,6,"No","No","No","Public"
"222",222,222,177500,0.32,0,16,27000,0,1,2,2,3,1561,1,1.5,9,"No","Yes","No","Public"
"223",223,223,300000,0.09,1,11,32000,0,0,3,4,3,936,0,1,3,"Yes","No","No","Public"
"224",224,224,123500,0.16,0,16,15100,0,0,3,4,3,1492,1,2.5,8,"No","No","No","Public"
"225",225,225,141000,0.16,0,18,15100,0,0,3,4,3,1853,0,2.5,7,"No","No","No","Public"
"226",226,226,105400,0.15,0,15,15100,0,0,3,4,3,1240,0,1.5,7,"No","No","No","Public"
"227",227,227,100600,0.17,0,19,15800,0,0,3,4,3,912,0,1.5,6,"No","No","No","Public"
"228",228,228,108900,0.17,0,19,15800,0,0,2,2,3,912,0,1.5,3,"No","No","No","Public"
"229",229,229,105500,0.16,0,19,15700,0,0,2,3,3,912,0,1.5,6,"No","No","No","Public"
"230",230,230,109900,0.16,0,19,15100,0,0,2,3,3,1184,0,1.5,8,"No","No","No","Public"
"231",231,231,172700,0.34,0,18,27000,0,0,3,4,3,1638,1,2,6,"No","No","No","Public"
"232",232,232,166500,0.31,0,16,27000,0,0,3,4,3,1508,1,2,6,"No","No","No","Public"
"233",233,233,105000,0.4,0,50,18000,0,0,3,4,3,672,0,1,5,"No","No","No","Public"
"234",234,234,490000,0.34,1,18,79700,0,0,4,2,3,1346,1,2,6,"Yes","No","No","Public"
"235",235,235,120000,0.16,0,18,15100,0,0,3,4,3,1184,0,2,5,"No","No","No","Public"
"236",236,236,107500,0.15,0,16,15700,0,0,2,2,3,912,0,1.5,4,"No","No","No","Public"
"237",237,237,116600,0.15,0,18,15700,0,0,3,4,3,912,1,1.5,5,"No","No","No","Public"
"238",238,238,65000,0.16,0,19,15700,0,0,2,2,3,988,0,2,4,"No","No","No","Public"
"239",239,239,118000,0.16,0,19,15100,0,0,2,2,3,1184,0,2,6,"No","No","No","Public"
"240",240,240,115900,0.15,0,16,15100,0,0,3,4,3,1385,0,1.5,4,"No","No","No","Public"
"241",241,241,100000,0.15,0,18,15700,0,0,2,3,3,912,0,1.5,3,"No","No","No","Public"
"242",242,242,171000,0.37,0,18,27000,0,1,2,2,3,1548,1,2,5,"No","Yes","No","Public"
"243",243,243,188000,0.31,0,17,27000,0,0,3,4,3,1561,0,1.5,9,"No","No","No","Public"
"244",244,244,140000,1,0,24,21000,0,1,2,2,2,1008,0,1,3,"No","Yes","No","Private"
"245",245,245,124500,0.15,0,17,15200,0,0,3,4,3,1385,0,1.5,4,"No","No","No","Public"
"246",246,246,107200,0.16,0,19,15700,0,0,2,2,3,908,0,1,6,"No","No","No","Public"
"247",247,247,107500,0.24,0,138,1400,0,0,4,3,3,2246,0,1.5,9,"No","No","No","Public"
"248",248,248,180000,2.06,0,16,5900,0,0,2,2,2,1820,1,2.5,5,"No","No","No","Private"
"249",249,249,214325,0.42,0,0,13000,1,1,2,2,3,2554,1,2.5,9,"No","Yes","Yes","Public"
"250",250,250,128850,0.92,0,16,5500,0,0,3,4,2,824,0,1.5,5,"No","No","No","Private"
"251",251,251,208700,0.4,0,0,15000,0,0,2,2,3,2458,1,2.5,9,"No","No","No","Public"
"252",252,252,139900,0.36,0,22,10500,0,0,3,4,3,1324,0,1,4,"No","No","No","Public"
"253",253,253,350000,5.84,0,12,20000,0,1,2,2,3,2916,1,2.5,9,"No","Yes","No","Public"
"254",254,254,108000,0.16,0,19,15100,0,0,3,4,3,1032,0,1.5,4,"No","No","No","Public"
"255",255,255,115500,0.15,0,16,15700,0,0,3,4,3,912,1,1.5,4,"No","No","No","Public"
"256",256,256,135000,0.98,0,35,19600,0,0,3,4,2,1320,0,1,3,"No","No","No","Private"
"257",257,257,135000,0.33,0,17,27000,0,0,2,2,3,1508,1,1.5,8,"No","No","No","Public"
"258",258,258,107400,0.16,0,16,15700,0,0,3,4,3,912,1,1.5,7,"No","No","No","Public"
"259",259,259,233000,0.09,0,12,31200,0,1,2,2,2,2040,1,2.5,7,"No","Yes","No","Private"
"260",260,260,105000,0.16,0,17,15700,0,0,3,4,3,912,1,1.5,5,"No","No","No","Public"
"261",261,261,335000,3,0,10,53600,0,1,4,2,3,1776,0,2,6,"No","Yes","No","Public"
"262",262,262,139000,0.58,0,25,25000,0,0,3,4,3,1304,0,2,8,"No","No","No","Public"
